"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HATSUN","EQ","01-Feb-2021","        695.90","        699.40","        722.00","        696.00","        718.80","        716.20","        708.74","      25581","            18130364.30","       1993"
"HATSUN","EQ","02-Feb-2021","        716.20","        717.40","        727.90","        706.20","        715.75","        712.05","        720.91","      22598","            16291225.05","       2634"
"HATSUN","EQ","03-Feb-2021","        712.05","        712.05","        723.25","        705.00","        720.00","        717.80","        714.63","      20105","            14367723.55","       1830"
"HATSUN","EQ","04-Feb-2021","        717.80","        721.00","        748.00","        714.80","        728.00","        725.45","        724.14","      18478","            13380651.75","       1508"
"HATSUN","EQ","05-Feb-2021","        725.45","        718.00","        729.00","        715.50","        722.40","        724.00","        722.90","      40382","            29192118.50","       2837"
"HATSUN","EQ","08-Feb-2021","        724.00","        727.50","        737.75","        719.15","        734.00","        728.65","        730.32","      32273","            23569526.15","       2616"
"HATSUN","EQ","09-Feb-2021","        728.65","        732.25","        732.95","        722.75","        725.00","        725.85","        726.44","      35782","            25993405.40","       3183"
"HATSUN","EQ","10-Feb-2021","        725.85","        721.05","        733.00","        721.05","        726.05","        727.80","        728.68","      23163","            16878363.50","       2820"
"HATSUN","EQ","11-Feb-2021","        727.80","        725.00","        728.90","        695.00","        711.15","        709.85","        715.79","      39449","            28237257.85","       2358"
"HATSUN","EQ","12-Feb-2021","        709.85","        715.00","        735.00","        712.50","        719.30","        714.95","        718.63","      30665","            22036763.75","       3290"
"HATSUN","EQ","15-Feb-2021","        714.95","        718.55","        721.90","        710.00","        712.55","        712.50","        712.96","      18933","            13498467.65","       1263"
"HATSUN","EQ","16-Feb-2021","        712.50","        712.05","        715.50","        706.05","        711.00","        708.50","        710.18","      15378","            10921218.20","        934"
"HATSUN","EQ","17-Feb-2021","        708.50","        712.20","        719.55","        704.05","        707.85","        707.30","        710.38","      21588","            15335713.25","       1624"
"HATSUN","EQ","18-Feb-2021","        707.30","        711.00","        747.90","        710.45","        717.90","        724.95","        731.99","     125614","            91947779.25","       4654"
"HATSUN","EQ","19-Feb-2021","        724.95","        719.90","        726.00","        706.90","        719.30","        716.95","        716.88","      33352","            23909481.70","       2095"
